ACCIDENT_YEAR,MONTH,LATITUDE,LONGITUDE,NATIONAL_PARK
2022,9,37.361351013183594,-118.4073486328125,Death_Valley
2022,9,37.43392181396485,-117.95169067382812,Death_Valley
2022,10,37.343040466308594,-118.39511108398438,Death_Valley
2022,10,37.44873046875,-117.93131256103516,Death_Valley
2022,10,36.582809448242195,-118.05751800537108,Death_Valley
2022,10,37.33613967895508,-118.39508056640624,Death_Valley
2022,10,37.58734893798828,-118.38600158691406,Death_Valley
2022,10,35.82194137573242,-116.32356262207033,Death_Valley
2022,10,36.699951171875,-118.12164306640624,Death_Valley
2022,10,36.319210052490234,-118.02709197998048,Death_Valley
2022,10,37.36132049560547,-118.42308044433594,Death_Valley
2022,10,36.467830657958984,-118.03623199462892,Death_Valley
2022,11,36.210670471191406,-116.39498138427734,Death_Valley
2022,11,37.36808013916016,-118.3943328857422,Death_Valley
2022,11,36.464149475097656,-118.03623199462892,Death_Valley
2022,12,37.36140060424805,-118.42230987548828,Death_Valley
2022,12,37.23046875,-118.34629058837892,Death_Valley
2022,12,37.44839096069336,-117.92733764648438,Death_Valley
2022,12,36.42269134521485,-117.2659912109375,Death_Valley
2022,12,37.141170501708984,-118.27783966064452,Death_Valley
2022,12,37.37590026855469,-118.42102813720705,Death_Valley
2022,12,36.59695816040039,-116.97067260742188,Death_Valley
2022,12,37.25204849243164,-118.58151245117188,Death_Valley
2023,1,36.63935089111328,-118.08036041259766,Death_Valley
2023,1,36.797359466552734,-118.19622802734376,Death_Valley
2023,1,37.380760192871094,-118.47744750976562,Death_Valley
2023,1,37.314430236816406,-118.51885986328124,Death_Valley
2023,2,37.36777114868164,-118.39824676513672,Death_Valley
2023,2,36.60240173339844,-118.06188201904295,Death_Valley
2023,2,37.179439544677734,-118.2961196899414,Death_Valley
2023,2,35.822731018066406,-116.32318878173828,Death_Valley
2023,2,36.24713897705078,-117.98934173583984,Death_Valley
2023,3,37.37137985229492,-118.39534759521484,Death_Valley
2023,4,36.844200134277344,-118.23014831542967,Death_Valley
2023,4,37.22983169555664,-118.34610748291016,Death_Valley
2023,5,37.375789642333984,-118.42324066162108,Death_Valley
2023,5,36.33549118041992,-117.47901916503906,Death_Valley
2023,5,35.83287811279297,-116.31993865966795,Death_Valley
2023,5,36.374229431152344,-116.67382049560548,Death_Valley
2023,5,36.386940002441406,-116.42262268066406,Death_Valley
2023,5,35.893150329589844,-117.89749908447266,Death_Valley
2023,5,36.45026016235352,-116.8435516357422,Death_Valley
2023,6,37.28733825683594,-118.37362670898438,Death_Valley
2023,6,36.33522033691406,-118.02101135253906,Death_Valley
2023,6,36.60773086547851,-118.06436157226562,Death_Valley
2023,6,37.37580108642578,-118.39534759521484,Death_Valley
2023,6,36.800540924072266,-118.19817352294922,Death_Valley
2023,7,35.79838180541992,-117.87261962890624,Death_Valley
2023,7,37.375778198242195,-118.41922760009766,Death_Valley
2023,7,36.42198944091797,-118.03005981445312,Death_Valley
2023,7,36.1201286315918,-117.97161102294922,Death_Valley
2023,7,36.97705841064453,-118.23665618896484,Death_Valley
2023,7,36.55501937866211,-117.20446014404295,Death_Valley
2023,7,37.33293151855469,-118.39505767822266,Death_Valley
2023,7,37.16632080078125,-118.28958892822266,Death_Valley
2023,8,36.27389907836914,-118.00199127197266,Death_Valley
2023,8,36.1109504699707,-117.9711685180664,Death_Valley
2023,8,37.36582946777344,-118.39376068115234,Death_Valley
2023,8,36.836280822753906,-118.22843933105467,Death_Valley
2023,9,36.47370910644531,-118.03636169433594,Death_Valley
2023,9,36.32526016235352,-116.4225616455078,Death_Valley
2023,9,36.79983139038086,-118.19792938232422,Death_Valley
2023,9,36.60353088378906,-118.06224060058594,Death_Valley
2023,9,37.375919342041016,-118.41808319091795,Death_Valley
2023,9,37.36526870727539,-118.39495849609376,Death_Valley
