National Park,Year,Month,Footfall
Redwood,2021,11,24730
Redwood,2021,12,20821
Redwood,2022,1,21532
Redwood,2022,2,21104
Redwood,2022,3,28292
Redwood,2022,4,34955
Redwood,2022,5,45789
Redwood,2022,6,60638
Redwood,2022,7,69446
Redwood,2022,8,60905
Redwood,2022,9,50856
Redwood,2022,10,38906
Redwood,2022,11,20806
Redwood,2022,12,15995
Redwood,2023,1,35281
Redwood,2023,2,20444
Redwood,2023,3,23114
Redwood,2023,4,33346
Redwood,2023,5,50696
Redwood,2023,6,56503
Redwood,2023,7,49554
Redwood,2023,8,46895
Redwood,2023,9,47589
Redwood,2023,10,41483
Redwood,2023,11,20737
Redwood,2023,12,13362
Redwood,2024,1,19674
Redwood,2024,2,22092
Redwood,2024,3,35589
Redwood,2024,4,35281
Redwood,2024,5,67975
Redwood,2024,6,35281
Redwood,2024,7,35281
Redwood,2024,8,35281
Redwood,2024,9,35281
Redwood,2024,10,35281
Redwood,2024,11,35281
Redwood,2024,12,35281
Sequoia,2015,1,53604
Sequoia,2015,2,69170
Sequoia,2015,3,114401
Sequoia,2015,4,140402
Sequoia,2015,5,197726
Sequoia,2015,6,174447
Sequoia,2015,7,124629
Sequoia,2015,8,71390
Sequoia,2015,9,48713
Sequoia,2015,10,43312
Sequoia,2015,11,41431
Sequoia,2015,12,35456
Sequoia,2016,1,60350
Sequoia,2016,2,74197
Sequoia,2016,3,128104
Sequoia,2016,4,161435
Sequoia,2016,5,222766
Sequoia,2016,6,192730
Sequoia,2016,7,151423
Sequoia,2016,8,93361
Sequoia,2016,9,58396
Sequoia,2016,10,48190
Sequoia,2016,11,31527
Sequoia,2016,12,28998
Sequoia,2017,1,60508
Sequoia,2017,2,95368
Sequoia,2017,3,132414
Sequoia,2017,4,170503
Sequoia,2017,5,233535
Sequoia,2017,6,201273
Sequoia,2017,7,147963
Sequoia,2017,8,89868
Sequoia,2017,9,59042
Sequoia,2017,10,53806
Sequoia,2017,11,40910
Sequoia,2017,12,43483
Sequoia,2018,1,68899
Sequoia,2018,2,85386
Sequoia,2018,3,132746
Sequoia,2018,4,157546
Sequoia,2018,5,195510
Sequoia,2018,6,185683
Sequoia,2018,7,136813
Sequoia,2018,8,84426
Sequoia,2018,9,55535
Sequoia,2018,10,60137
Sequoia,2018,11,36078
Sequoia,2018,12,31782
Sequoia,2019,1,65838
Sequoia,2019,2,93911
Sequoia,2019,3,121478
Sequoia,2019,4,155029
Sequoia,2019,5,194517
Sequoia,2019,6,191136
Sequoia,2019,7,145518
Sequoia,2019,8,118896
Sequoia,2019,9,60600
Sequoia,2019,10,47257
Sequoia,2019,11,46936
Sequoia,2019,12,49693
Sequoia,2020,1,17398
Sequoia,2020,2,0
Sequoia,2020,3,0
Sequoia,2020,4,53687
Sequoia,2020,5,195843
Sequoia,2020,6,188655
Sequoia,2020,7,88659
Sequoia,2020,8,65896
Sequoia,2020,9,67498
Sequoia,2020,10,32073
Sequoia,2020,11,66764
Sequoia,2020,12,55169
Sequoia,2021,1,80798
Sequoia,2021,2,103773
Sequoia,2021,3,135021
Sequoia,2021,4,162864
Sequoia,2021,5,183510
Sequoia,2021,6,156523
Sequoia,2021,7,51437
Sequoia,2021,8,23230
Sequoia,2021,9,26211
Sequoia,2021,10,25881
Sequoia,2021,11,33550
Sequoia,2021,12,40189
Sequoia,2022,1,60203
Sequoia,2022,2,87208
Sequoia,2022,3,122595
Sequoia,2022,4,136956
Sequoia,2022,5,189197
Sequoia,2022,6,171330
Sequoia,2022,7,127850
Sequoia,2022,8,97366
Sequoia,2022,9,56804
Sequoia,2022,10,42886
Sequoia,2022,11,27224
Sequoia,2022,12,32961
Sequoia,2023,1,7114
Sequoia,2023,2,29824
Sequoia,2023,3,74418
Sequoia,2023,4,88228
Sequoia,2023,5,188068
Sequoia,2023,6,172889
Sequoia,2023,7,143349
Sequoia,2023,8,107054
Sequoia,2023,9,69733
Sequoia,2023,10,53482
Sequoia,2023,11,48972
Sequoia,2023,12,39884
Sequoia,2024,1,69652
Sequoia,2024,2,89121
Sequoia,2024,3,138375
Sequoia,2024,4,124873
Sequoia,2024,5,213979
Sequoia,2024,6,200233
